Data(sub)set|Number of examples per splits
adversarial_qa_dbert_answer_the_following_q|{"validation": 1000, "train": 10000}
adversarial_qa_dbert_based_on|{"validation": 1000, "train": 10000}
adversarial_qa_dbert_generate_question|{"validation": 1000, "test": 1000, "train": 10000}
adversarial_qa_dbert_question_context_answer|{"validation": 1000, "train": 10000}
adversarial_qa_dbert_tell_what_it_is|{"validation": 1000, "train": 10000}
adversarial_qa_dbidaf_answer_the_following_q|{"validation": 1000, "train": 10000}
adversarial_qa_dbidaf_based_on|{"validation": 1000, "train": 10000}
adversarial_qa_dbidaf_generate_question|{"validation": 1000, "test": 1000, "train": 10000}
adversarial_qa_dbidaf_question_context_answer|{"validation": 1000, "train": 10000}
adversarial_qa_dbidaf_tell_what_it_is|{"validation": 1000, "train": 10000}
adversarial_qa_droberta_answer_the_following_q|{"validation": 1000, "train": 10000}
adversarial_qa_droberta_based_on|{"validation": 1000, "train": 10000}
adversarial_qa_droberta_generate_question|{"validation": 1000, "test": 1000, "train": 10000}
adversarial_qa_droberta_question_context_answer|{"validation": 1000, "train": 10000}
adversarial_qa_droberta_tell_what_it_is|{"validation": 1000, "train": 10000}
ag_news_classify|{"test": 7600, "train": 120000}
ag_news_classify_question_first|{"test": 7600, "train": 120000}
ag_news_classify_with_choices|{"test": 7600, "train": 120000}
ag_news_classify_with_choices_question_first|{"test": 7600, "train": 120000}
ag_news_recommend|{"test": 7600, "train": 120000}
ag_news_which_section|{"test": 7600, "train": 120000}
ag_news_which_section_choices|{"test": 7600, "train": 120000}
ai2_arc_ARC_Challenge_heres_a_problem|{"validation": 299, "test": 1172, "train": 1119}
ai2_arc_ARC_Challenge_i_am_hesitating|{"validation": 299, "test": 1172, "train": 1119}
ai2_arc_ARC_Challenge_multiple_choice|{"validation": 299, "test": 1172, "train": 1119}
ai2_arc_ARC_Challenge_pick_false_options|{"validation": 299, "test": 1172, "train": 1119}
ai2_arc_ARC_Challenge_pick_the_most_correct_option|{"validation": 299, "test": 1172, "train": 1119}
ai2_arc_ARC_Challenge_qa_options|{"validation": 299, "test": 1172, "train": 1119}
ai2_arc_ARC_Easy_heres_a_problem|{"validation": 570, "test": 2376, "train": 2251}
ai2_arc_ARC_Easy_i_am_hesitating|{"validation": 570, "test": 2376, "train": 2251}
ai2_arc_ARC_Easy_multiple_choice|{"validation": 570, "test": 2376, "train": 2251}
ai2_arc_ARC_Easy_pick_false_options|{"validation": 570, "test": 2376, "train": 2251}
ai2_arc_ARC_Easy_pick_the_most_correct_option|{"validation": 570, "test": 2376, "train": 2251}
ai2_arc_ARC_Easy_qa_options|{"validation": 570, "test": 2376, "train": 2251}
amazon_polarity_Is_this_product_review_positive|{"test": 400000, "train": 3600000}
amazon_polarity_Is_this_review|{"test": 400000, "train": 3600000}
amazon_polarity_Is_this_review_negative|{"test": 400000, "train": 3600000}
amazon_polarity_User_recommend_this_product|{"test": 400000, "train": 3600000}
amazon_polarity_convey_negative_or_positive_sentiment|{"test": 400000, "train": 3600000}
amazon_polarity_flattering_or_not|{"test": 400000, "train": 3600000}
amazon_polarity_negative_or_positive_tone|{"test": 400000, "train": 3600000}
amazon_polarity_user_satisfied|{"test": 400000, "train": 3600000}
amazon_polarity_would_you_buy|{"test": 400000, "train": 3600000}
anli_GPT_3_style_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_GPT_3_style_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_GPT_3_style_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_GPT_3_style_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_GPT_3_style_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_GPT_3_style_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_MNLI_crowdsource_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_MNLI_crowdsource_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_MNLI_crowdsource_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_MNLI_crowdsource_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_MNLI_crowdsource_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_MNLI_crowdsource_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_always_sometimes_never_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_always_sometimes_never_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_always_sometimes_never_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_always_sometimes_never_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_always_sometimes_never_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_always_sometimes_never_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_based_on_the_previous_passage_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_based_on_the_previous_passage_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_based_on_the_previous_passage_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_based_on_the_previous_passage_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_based_on_the_previous_passage_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_based_on_the_previous_passage_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_can_we_infer_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_can_we_infer_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_can_we_infer_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_can_we_infer_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_can_we_infer_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_can_we_infer_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_claim_true_false_inconclusive_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_claim_true_false_inconclusive_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_claim_true_false_inconclusive_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_claim_true_false_inconclusive_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_claim_true_false_inconclusive_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_claim_true_false_inconclusive_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_consider_always_sometimes_never_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_consider_always_sometimes_never_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_consider_always_sometimes_never_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_consider_always_sometimes_never_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_consider_always_sometimes_never_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_consider_always_sometimes_never_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_does_it_follow_that_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_does_it_follow_that_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_does_it_follow_that_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_does_it_follow_that_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_does_it_follow_that_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_does_it_follow_that_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_does_this_imply_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_does_this_imply_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_does_this_imply_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_does_this_imply_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_does_this_imply_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_does_this_imply_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_guaranteed_possible_impossible_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_guaranteed_possible_impossible_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_guaranteed_possible_impossible_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_guaranteed_possible_impossible_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_guaranteed_possible_impossible_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_guaranteed_possible_impossible_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_guaranteed_true_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_guaranteed_true_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_guaranteed_true_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_guaranteed_true_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_guaranteed_true_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_guaranteed_true_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_justified_in_saying_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_justified_in_saying_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_justified_in_saying_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_justified_in_saying_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_justified_in_saying_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_justified_in_saying_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_must_be_true_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_must_be_true_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_must_be_true_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_must_be_true_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_must_be_true_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_must_be_true_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_should_assume_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_should_assume_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_should_assume_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_should_assume_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_should_assume_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_should_assume_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
anli_take_the_following_as_truth_r1|{"validation": 1000, "test": 1000, "train": 16946}
anli_take_the_following_as_truth_r1_score_eval|{"validation": 3000, "test": 3000, "train": 50838}
anli_take_the_following_as_truth_r2|{"validation": 1000, "test": 1000, "train": 45460}
anli_take_the_following_as_truth_r2_score_eval|{"validation": 3000, "test": 3000, "train": 136380}
anli_take_the_following_as_truth_r3|{"validation": 1200, "test": 1200, "train": 100459}
anli_take_the_following_as_truth_r3_score_eval|{"validation": 3600, "test": 3600, "train": 301377}
